lAboutText1	~1~ ~2~ (~3~ bit)
lDialogMinimized	Minimizzato
lDialogModifiedDate	Data modificata
lDialogMouse	Mouse
lDialogMouseButtonsText	Tasto Sinistro del Mouse|Tasto Centrale del Mouse|Tasto destro del Mouse|Tasto Speciale 1 del Mouse|Tasto Speciale 2 del Mouse|Rotellina Su|Rotellina Giù|Rotellina Sinistra|Rotellina Destra|
lDialogMouseButtonsTextShort	Mouse SX|Rotella Mouse|Mouse DX|Mouse Speciale 1|Mouse Speciale 2|Rotella Su|Rotella Giù|Rotella SX|Rotella DX|
lDialogMoveFavoritesTitle	Sposta i Preferiti - ~1~ ~2~
lDialogMoveFavoriteTitle	Sposta il Preferito - ~1~ ~2~
lDialogMoveSettingsFail	Un errore si è verificato copiando la cartella Impostazioni.`n`nLo spostamento della cartella Impostazioni è stato annullato.
lDialogMoveSettingsReload	~1~ deve essere riavviato...
lDialogMoveSettingsSuccess	File Impostazioni copiati con successo.`n`nVecchia cartella:`n~1~`n`nNuova cartella: `n~2~`n`nI file nella vecchia cartella non sono stati cancellati. Eliminali se/quando vuoi dopo aver chiuso ~3~.
lDialogMoveSettingsUnder	Non puoi spostare la cartella Impostazioni in se stessa. Scegli un'altra destinazione.
lDialogNA	n/a
lDialogNew	Nuovo
lDialogNone	Nessuno
lDialogNormal	Normale
lDialogOff	Assente
lDialogOK	OK
lDialogOn	Presente
lDialogOpenThisGroup	Apri questo gruppo
lDialogOpenThisMenu	Apri questo menù
lDialogOptionsPathNotExist	Questa cartella non esiste:`n~1~`n`nVuoi crearla?
lDialogOr	o
lDialogPlaceholders	Vedere le pagine di Aiuto <a href="~1~">Segnaposti</a>.
lDialogPlay	Esegui
lDialogQAPFeatureCategoriesNames	Funzionalità|Menù Dinamici|Modifica Menù QAP|Aggiungi Preferito del Tipo|Gestione finestra|Funzionalità delle finestre|Chiudi Comandi del Computer|Utilità varie|Gestione QAP
lDialogQAPFeatureCategoriesNamesAll	Tutte (in ordine alfabetico)
lDialogQAPFeaturesHelpLink	Aiuto su questa funzionalità
lDialogReadOnly	Sola-Lettura
lDialogRefresh	Aggiorna
lDialogRemoveMultipleFavorites	Vuoi davvero eliminare ~1~ preferiti / sottomenù?
lDialogResetQAPSpecialDefaultNames	Questo comando resetta tutte le Cartelle Speciali e Caratteristiche di QAP preferite nel tuo menù al loro nome di default in "~1~".`n`nContinuare?
lDialogSearch	Cerca
lDialogSelectIcon	Seleziona icona
lDialogSelectIconJL	Seleziona da JLicons.dll
lDialogSelectIconNo	Senza icone
lDialogSelectItemOneOrMore	Per favore seleziona almeno una voce.
lDialogSelectItemToEdit	Per favore, seleziona la voce da modificare.
lDialogSelectItemToMove	Per favore, seleziona l'oggetto da spostare
lDialogSelectItemToRemove	Per favore, seleziona la voce da eliminare.
lDialogSettingsInvalid	File delle Impostazioni invalido.`n`nAssicurati che il file delle Impostazioni includa le sezioni ~1~ e ~2~.`n`nFile: ~3~
lDialogSettingsNotSavedPrompt	La finestra "Personalizzare" è aperta con modifiche non ancora salvate. Questi cambiamenti devono essere salvati o annullate prima di eseguire l'azione richiesta.`n`nVuoi:`n- "Salvare": salva le modifiche e procedi con l'azione richiesta`n- "Personalizzare": annulla l'azione richiesta e torna alla finestra "Personalizzare"`n- "Annulla": preferisci semplicemente annullare l'azione richiesta?
lDialogSettingsNotSavedTitle	~1~ - Impostazioni non salvate
lDialogShift	Shift
lDialogShiftShort	Shift
lDialogShortcut	Scorciatoia
lDialogShortcuts	Scorciatoie
lDialogShortcutsDescription	Visualizza una casella di dialogo con una visione complessiva delle tue scorciatoie di mouse o tastiera. Puoi ordinare i preferiti cliccando sul'intestazione.`n`nFai doppio click su una scorciatoia per cambiare o rimuovere la combinazione di tasti assegnata.`n`nClicca la casella "Vedi tutti i preferiti" per assegnare scorciatoie ad altri preferiti.
lDialogSortBy		Ordina per
lDialogSortOrder	Tipo di ordinamento
lDialogSoundLabel	Esegui questo suono quando richiami il preferito (<a href="~1~">~2~</a>)
lDialogSpecialFoldersCategoriesNames	Base|Esperto|Amministr. di sistema|Contenuti|Hardware
lDialogState	Stato della Finestra:
lDialogSubmenuNameEmpty	Il nome del sottomenù non può essere vuoto. Si prega di inserire un nome.
lDialogSubmenuParentMenu	Scegli il menù in cui inserirlo
lDialogSwitchSettings	Seleziona il file delle Impostazioni da usare
lDialogTabNext	Seguente
lDialogThirdPartyDetected	~1~ ha riscontrato che ~2~ è installato nel tuo sistema.`n`nVuoi abilitare l'integrazione con ~2~?
lDialogTreeView	vista albero
lDialogTriggerFor	Condizione di attivazione per:
lDialogUnavailableWithLiveFolders	(Non disponibile per Cartelle Live)
lDialogUseDefaultWindowPosition	Usa la posizione di default della finestra
lDialogWin	Tasto Windows
lDialogWindowMonitor	Monitor
lDialogWindowPosition	Posizione della finestra:
lDialogWindowPositionDelay	Ritardo
lDialogWindowPositionH	Altezza
lDialogWindowPositionLeft	Sinistra
lDialogWindowPositionMayFail	Nota: per varie ragioni QAP può non riuscire a spostare o ridimensionare alcune finestre.
lDialogWindowPositionRight	Destra
lDialogWindowPositionW	Larghezza
lDialogWindowPositionX	Sinistra
lDialogWindowPositionY	Intestazione
lDialogWindowsAppsList	Seleziona l'App Windows dalla lista di app installate nel tuo sistema
lDialogWindowsAppsListCustom	Identificatore di Windows App personalizzata (Application User Model ID - AUMID)
lDialogWindowsAppsListError	Non è stato possibile aggiornare la lista di App Windows. C'è stato un errore durante l'esecuzione dello script di PowerShell.
lDialogWindowsAppsListSuccess	La lista di App Windows è stata aggiornata.
lDialogWindowsFolderIconCreate	Crea
lDialogWindowsFolderIconNoRoot	L'icona della cartella di Windows non può essere assegnata alla cartella radice di una unità disco  (~1~).
lDialogWindowsFolderIconPrompt	Questo comando ~1~ il file di sistema:`n~2~`n`nL'icona della cartella di Windows sarà assegnata all'icona attualmente selezionata per questo Preferito. Vuoi proseguire?
lDialogWindowsFolderIconPrompt2	Nota: Potrebbero passare da 10-15 secondi fino ad un minuto prima che Windows mostri l'icona della nuova cartella.
lDialogWindowsFolderIconRemove	Rimuove l'icona della cartella di Windows
lDialogWindowsFolderIconRemoveFile	Questo comando può anche CANCELLARE questo file di sistema e riportare la cartella al suo stato di default:`n~1~`n`nVuoi CANCELLARE il file di sistema?
lDialogWindowsFolderIconReset	L'icona della cartella sarà resettata alla sua immagine predefinita. `n`nVuoi continuare?
lDialogWindowsFolderIconSet	Set Icona della cartella di Windows
lDialogWindowsFolderIconUpdate	Aggiorna
lDialogWinShort	Win
lDialogWorkingDirLabel	Avvia in
lDonateButton		Supporta questo Programma!
lDonateCheckPrompt	Benvenuto a questa nuova versione di ~1~?`n`nQuesto messaggio non sarà più visualizzato finchè non installerai un successivo aggiornamento.`n`nNon solo ~1~ può essere usato GRATUITAMENTE ma è anche completamente PRIVO di fastidiosi messaggi pubblicitari o altro software installato a tua insaputa, che non si è mai sicuri se nascondano spyware o malware.`n`nAl momento, per ~2~ volte ~1~ ti ha aiutato nel tuo lavoro quotidiano. Che ne diresti di inviare un contributo adesso per sostenere lo sviluppo di questo programma?
lDonateCheckPrompt2	Nota: Agli Utenti che generosamente invieranno un contributo minimo di 5$ o 5€ o più (o un'offerta mensile di qualunque importo) sarà dato un CODICE SOSTENITORE che BLOCCA ~1~.
lDonateCheckPrompt3	mostra questo messaggio
lDonateCheckPrompt4	visualizza i promemoria sui contributi allo sviluppo del programma
lDonateCheckPrompt5	e visualizza una notifica di richiesta contributi allo sviluppo nella finestra "Personalizzare"
lDonateCheckTitle	~1~ volte! - ~2~
lDonateMenu	Supporta questo Programma!
lDonatePlatformComment1	Puoi inviare donazioni con carta di credito (senza necessità di disporre di un conto) o dal tuo conto PayPal
lDonatePlatformComment2	Per sostenitori europei
lDonatePlatformComment3	Per sostenitori canadesi
lDonatePlatformComment4	In dollari USA (USd), Euro e dollari canadesi (CAd).
lDonatePlatformName1	Usando Paypal in $ (USA)
lDonatePlatformName2	Usando Paypal in $ (USA)
lDonatePlatformName3	Usando Paypal in $ (CAN)
lDonatePlatformName4	Fai una donazione mensilmente
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Supporta lo sviluppo di ~1~!
lDonateText2	<a href="~1~">Perchè supportare questo Programma?</a>
lDonateText3	... e spargi la voce se ti piace questo Programma!
lDonateText4	Fai una recensione positiva di ~1~ su:
lDonateText5	Mandami il tuo link
lDonateThankyou	Grazie di supportare questo Programma!
lDonateTitle	Supporta questo Programma! - ~1~ ~2~
lDOpusLayoutsName	I layout
lDOpusMenuName	Preferiti di Directory Opus
lDopusMenuNameDescription	Per gli utenti di Directory Opus (DOpus), visualizza un menù dinamico costruito con le cartelle aggiunte ai Preferiti di DOpus. Se DOpus è stato selezionato durante l'installazione di QAP, i Preferiti di Directory Opus sono stati aggiunti automaticamente al tuo menù.
lDopusMenuNameShowLayout	Mostra i Layout nei menù ~1~
lGuiAbout	Crediti
lGuiAboutDescription	Visualizza sviluppo, traduzioni ed altri riconoscimenti, numeri di versione del programma e del motore, licenza, nome dell'utente corrente e del PC, collegamento al sito web di supporto.
lGuiAddFavorite	Aggiungi
lGuiCancel	Annulla
lGuiClose	Chiudi
lGuiCopy	Copia
lGuiDonate	Supporta questo Programma
lGuiDonateCodeInput	Inserisci il tuo codice sostenitore
lGuiDonateCodeInputDescription	Inserisci il tuo codice sostenitore ed il nome sostenitore ricevuto per email dopo aver inviato un contributo per sostenere lo sviluppo di Quick Access Popup.
lGuiDonateCodeInputDonorInvalid	Codice sostenitore invalido.`n`nAssicurati di copiarne il valore esattamente come riportato nell'email per sostenitori.
lGuiDonateCodeInputDonorLabel	Inserisci il codice di 8 caratteri (CODICE SOSTENITORE)
lGuiDonateCodeInputSponsorLabel	Inserisci il tuo nome (NOME SOSTENITORE)
lGuiDonateDescription	Visualizza la casella di dialogo "Supporta questo Programma".
lGuiDropFilesHelp	Drag and Drop (promemoria)
lGuiDropFilesIncentive	Puoi trascinare i seguenti tipi di preferiti sulla finestra ~1~:`n`n`t- ~2~`n`t- ~3~`n`t- ~4~
lGuiDropFilesIncentive2	Per aiutarti a trascinare uno o piú file in una sola volta, puoi far restare la finestra "Personalizzare" sempre "in primo piano" cliccando l'icona a puntina sul lato sinistro della finestra.
lGuiEditFavorite	Modifica
lGuiGroupClosing	Chiusura delle finestre di Explorer
lGuiGroupRestoreDelay	Ritardo tra ogni Preferito da ripristinare:
lGuiGroupRestoreDelayMilliseconds	millisecondi
lGuiGroupRestoreSide	Lato di visualizzazione di ~1~
lGuiGroupSaveAddWindowsLabel	Aggiungi cartelle a finestre esistenti
lGuiGroupSaveReplaceWindowsLabel	Sostituisci delle cartelle nelle finestre esistenti
lGuiGroupSaveRestoreOption	Nel ripristinare delle cartelle in questo gruppo:
lGuiGroupSaveRestoreWith	Ripristina le cartelle con:
lGuiHelp	Aiuto
lGuiHelpDescription	Mostra la finestra di "Aiuto" di QAP breve.
lGuiHotkeysHelp	Organizzazione Preferiti (scorciatoie)
lGuiHotkeysOpenParentMenu	Apri il menù superiore
lGuiHotkeysOpenSubmenuOrEditFavorite	Apri sottomenù o modifica preferito
lGuiHotkeysSelectContiguousItems	Seleziona elementi contigui
lGuiHotkeysSelectNextItem	Seleziona elemento successivo/precedente
lGuiHotkeysSelectNonContiguousItems	Seleziona elementi non-contigui
lGuiListApplicationsHeader	Indice|ID|titolo Finestra|Nome Processo|Percorso del Processo|W & H|MinMax|Stile|ExStile|UWP Hwnd|Nome Applicazione Universale
lGuiLoginName	Nome di Login
lGuiLvFavoritesHeader	Nome|Tipo|Scorciatoia|Locazionen o contenuto
lGuiLvFavoritesHeaderFiltered	Nome|Menù|Tipo|Combinazione|Posizione o contenuto
lGuiMove	Sposta
lGuiOptions	Opzioni
lGuiOptionsDescription	Visualizza la casella di dialogo "Opzioni" per consentire a QAP di comportarsi come preferisci.
lGuiPassword	Password
lGuiPasswordNotEncripted	Nota: la password non verrà criptata prima di inviarla in Internet.
lGuiRemoveFavorite	Elimina
lGuiResetDefault	Ripristina hotkey predefinito
lGuiSave	Salva
lGuiSaveAndClose	Salva && Chiudi
lGuiSaving	Salvataggio
lGuiSubmenuDropdownLabel	Menù o gruppo da modificare:
lGuiTitle	"Personalizzare" - ~1~ ~2~
lHelpMenuKnowledgeBase	Informazioni per Aiuto e Supporto
lHelpMenuQuickStart	Avvio Veloce
lHelpMenuSupportForum	Forum di Supporto
lHelpTabAddingFavorite	Aggiungere Preferiti
lHelpTabGettingStarted	Per Cominciare
lHelpTabQAPFeatures	Funzionalità di QAP
lHelpTabSharedMenus	Menú Condivisi
lHelpTabTipsAndTricks	Trucchi e suggerimenti
lHelpText11	Appena lanciato, QAP  (Quick Access Popup) aggiunge un'icona nell'area notifiche e resta in attesa dei tuoi comandi. Quando vuoi aprire una delle tue CARTELLE, DOCUMENTI, APPLICAZIONI, LINK WEB, siti FTP o SNIPPET preferiti, semplicemente premi il tasto dedicato per QAP [~1~] o [~2~] e, nel menù popup, seleziona il Preferito desiderato.
lHelpText12	Quando selezioni una CARTELLA preferita in Windows Explorer o in una finestra di dialogo per file*, Quick Access Popup istantaneamente "navigherà" dalla finestra attuale a tale cartella! *Questa funzionalità deve essere abilitata in Opzioni, sezione "Generale".
lHelpText13	Per forzare l'apertura della cartella in una nuova finestra, premi i tasti Alternativi [~1~] o [~2~]. Nel menù Alternativo, seleziona "Apri in una nuova finestra", poi seleziona la cartella voluta. Il Menù Alternativo offre diverse altre funzionalità.
lHelpText14	Scegli "Personalizzare" per personalizzare il tuo menù di Quick Access Popup. Puoi aggiungere Preferiti al tuo Menù. Puoi spostarli, rinominarli o eliminarli. Puoi anche aggiungere SOTTOMENU, GRUPPI o MENU' CONDIVISI. Scegli il "Menù o gruppo da editare:" nell'elenco a discesa. Clicca "Salva" per mantenere le modifiche.
lHelpText21	Per aggiungere Preferiti, nella finestra "Personalizzare", clicca sul pulsante "Aggiungi". Seleziona il tipo del nuovo Preferito e leggi il suggerimento sul lato destro della finestra. Clicca "Continua" per aprire la casella di dialogo "Aggiungi Preferito".
lHelpText22	Nei vari tab della casella di dialogo "Aggiungi Preferito", inserisci le "Impostazioni di base", "Opzioni del Menù", "Opzioni della finestra" e "Impostazioni Avanzate". Clicca "Aggiungi" per inserire il Preferito nel tuo menù e "Salva" nella finestra "Personalizzare".
lHelpText23	AGGIUNGI UNA CARTELLA ATTIVA O UNA PAGINA WEB`n`nPer AGGIUNGERE velocemente una nuova CARTELLA preferita o una PAGINA WEB preferita al menù popup:`n1) Vai in una cartella o pagina web che usi di frequente.`n2) Clicca il tasto dedicato di QAP [~1~] o [~2~], e clicca "Aggiungi Cartella Attiva o Pagina Web".`n3) Assegna un nome breve al preferito, clicca "Aggiungi", quindi "Salva" nella finestra "Personalizzare".
lHelpText24	La finestra "Personalizzare" viene automaticamente aperta all'avvio di QAP. Quando sei soddisfatto del tuo menù, puoi mantenere chiusa questa finestra all'avvio di QAP ed aprirla soltanto quando hai bsigno di aggiornare il menù. Seleziona la tua preferenza in "Opzioni", sezione "Finestra 'Personalizzare'".
lHelpText31	Nel menù "Strumenti di QAP":
lHelpText32	- Usa i menù "Riapri una Cartella" o "Riapri la Cartella Corrente in Finestra di Dialogo" per riaprire una delle cartelle già aperte in una finestra di Explorer.`n- Accedi ai file o URL negli Appunti dal menù "Appunti".`n- Clicca il menù "Unità disco" per vedere l'elenco delle unità con lo spazio corrente sul disco.
lHelpText33	PERSONALIZZA IL MENU DELLE FUNZIONALITA' DI QAP
lHelpText34	Puoi spostare voci del menù "Usati di recente (o spesso)" e "Strumenti di QAP" nel menù principale o ad altri sottomenù come desideri. Nella finestra "Personalizzare", seleziona "Menu o gruppo da editare:" nell'elenco a discesa, modifica la voce di QAP da spostare e, nel tab "Opzioni del Menù", seleziona il nuovo Menù Superiore del Preferito e la posizione.
lHelpText35	Nel menù "Usati di recente (o spesso)", cerca i contenuti correnti:
lHelpText36	- Apri i menù "Cartelle Frequenti" o "File Frequenti" per vedere i tuoi contenuti usati più di frequente.`n- Scegli i menù "Cartelle Recenti" o "File Recenti" per mostrare un elenco aggiornato del tuo lavoro recente.`n- Premi il menù "Finestre Correnti" per passare a qualunque altra finestra di Explorer o applicazione in esecuzione.
lHelpText41	- Usa l'icona Quick Access Popup nell'Area Notifiche (in basso a destra dello schermo di Windows) in uno dei seguenti tre modi:`n1) Click sinistro sull'icona per aprire il menù popup di QAP`n2) Click destro sull'ciona per aprire il menù di sistema di QAP.`n3) Doppio click sull'icona per aprire la casella di dialogo "Personalizzare".
lHelpText42	- Nell'Area Notifiche, clicca col destro sull'icona di Quick Access Popup e spunta l'opzione "Esegui all'Avvio" per lanciare Quick Access Popup automaticamente all'avvio di Windows.
lHelpText43	- Configura le condizioni per aprire il menù Quick Access Popup: scegli il tuo tasto del mouse preferito o le scorciatoie da tastiera. Nella finestra "Personalizzare", scegli il menù "Opzioni, scorciatoie del Popup".
lHelpText44	- Sempre in "Opzioni": scegli la tua lingua preferita, dimensione delle icone del menù, e i colori per la finestra. Seleziona il numero di cartelle recenti da visualizzare, aggiungi scorciatoie numeriche da tastiera al menù delle cartelle o promemoria delle scorciatoie. Fissa il menù popup in una posizione prestabilita o ricorda la posizione della finestra "Personalizzare". E molto altro...
lHelpText45	- Utenti di Directory Opus: consultare <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">questa pagina</a> per informazioni addizionali.`n- Utenti di Total Commander: consultare <a href="http://www.quickaccesspopup.com/how-do-i-enable-total-commander-support-in-quick-access-popup/">questa pagina</a> per informazioni addizionali.`n- Utenti di altri file manager: consultare <a href="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">questa pagina</a> per informazioni addizionali su QAPconnect.
lHelpText51	I Menú Condivisi permettono di gestire i preferiti in un file di impostazioni che può essere condiviso tra utenti differenti o essere usato dallo stesso utente su diversi computer. Ci sono tre tipi di Menú Condivisi:
lHelpText52	I Menú Condivisi possono contenere qualunque tipo di preferiti, tranne altri Menú Condivisi. Il file di impostazioni del Menú Condiviso può essere salvato su un disco di rete o una cartella condivisa (come Dropbox) ed usato su vari PC. QAP supporta completamente il lavoro collaborativo evitando conflitti di accesso in scrittura.
lHelpText53	Per creare o aggiungere un menú condiviso, nella casella di dialogo "Aggiungi Preferito", seleziona Menú Condiviso e premi Continua. Nel campo Posizione del file di impostazioni del Menú Condiviso, inserisci il percorso ed il nome di tale file (esterno) delle impostazioni. L'estensione del file deve essere .ini. Se il file di impostazioni esiste già, il suo contenuto sarà aggiunto al Menú di QAP. Se non esiste, verrà creato come sottomenú vuoto.
lHelpText54	Imposta un Catalogo di Menú Condivisi nelle Impostazioni (tab "Generale") per consentire agli utenti di sottoscrivere facilmente i menú condivisi.
lHelpTextLead	Quick Access Popup ti consente di spostarti come una scheggia tra le cartelle, documenti e pagine web che usi più spesso!
lHelpTitle	Aiuto - ~1~ ~2~
lHotkeyRemindersRightAlign	Allinea le notifiche a destra
lImpExpAborted	interrotto
lImpExpAppend	Accodare
lImpExpCompleted	completato
lImpExpDestination	Destinazione
lImpExpExport	Esportare
lImpExpFavorites	Preferiti
lImpExpFile	file ~1~
lImpExpFileGlobal	Scorciatoie per le Impostazioni Globali ed il Menù Principale
lImpExpFileThemes	Temi
lImpExpFinalReport	Trasferimento di ~1~.`n`nSorgente:`n~2~`n`nDestinazione:`n~3~
lImpExpImport	Importare
lImpExpMenu	Impostazioni per Importare/Esportare
lImpExpMenuDescription	Visualizza una casella di dialogo dove puoi esportare i tuoi preferiti ed altre impostazioni per creare un backup da conservare dove preferisci.`n`nPuoi anche importare preferiti e impostazioni da un altro PC o da un altro utente.
lImpExpNoThemes	Non trovo nessun elenco di Temi nel valore "~1~" della sezione "~2~".`n`nFile sorgente:`n~3~
lImpExpOptionAlternative	Scorciatoie dei menù Alternativi
lImpExpOptionFavorites	Preferiti
lImpExpOrIdentical	(o dal contenuto identico)
lImpExpReplaceAll	Sostituire tutto
lImpExpReplaceFavorites	Ci sono Preferiti nel file di destinazione. Cosa intendi fare?`n`n~1~
lImpExpReplaceSection	Sostituire (SOVRASCRIVERE) la sezione ~2~ nel file esistente?`n`n~1~`n`n[~2~]`n~3~
lImpExpRestartApp	Vuoi riavviare ~1~ caricando le nuove impostazioni adesso?
lImpExpSectionNotFound	Contenuto non trovato nel file:`n`n~1~`n`nSezione: [~2~]`nDescrizione: ~3~
lImpExpSelectFile	Per favore, seleziona il file  ~1~.
lImpExpSource	Sorgente
lImpExpTitle	Impostazioni per Importare / Esportare - ~1~
lImpExpUnsavedSettings	Una finestra "Personalizzare" è già aperta, senza aver salvato eventuali cambiamenti.`n`nPer favore, chiudi le finestre delle impostazioni prima di importarle o esportarle.
lMainMenuName	Principale
lMenuAbout	Crediti
lMenuAddFavorite	Aggiungi Preferito
lMenuAddFavoriteDescription	Visualizza una lista di tipi preferiti dove selezionare il tipo di preferito da aggiungere.`n`nNella prossima finestra, inserisci:`n- un nome per il preferito`n- il contenuto`n- varie impostazioni come icona, scorciatoia, sequenza di sostituzione, parametri, ecc.`n`nA seconda del tipo di preferito selezionato, il contenuto può essere una cartella, un documento o il percorso del file di un programma, un link web, uno snippet di testo (frammento), il nome di un sottomenù, etc.
lMenuAddFavoriteOfTypeDescription	Aggiungi un preferito del tipo "~1~".`n`nNella casella di dialogo "Aggiungi Preferito", inserisci:`n- un nome per il preferito`n- il contenuto, a seconda del tipo selezionato per il preferito`n- settaggi vari come icona, scorciatoia, sequenza di sostituzione, parametri, ecc.
lMenuAddThisFolder	Aggiungi una Cartella attiva o una pagina web
lMenuAddThisFolderDescription	Aggiungi rapidamente al tuo menù la cartella o la pagina web attiva.`n`nPuoi aggiungere delle cartelle in questo modo in Windows Explorer o nelle finestre delle caselle di dialogo per file. Puoi aggiungere collegamenti a pagine web con la maggior parte dei web browsers.`n`nNella casella di dialogo "Aggiungi prefeirto", conferma il nome per il tuo preferito e inserisci settaggi vari come icona, scorciatoia, sequenza di sostituzione, parametri, ecc.`n`nCome impostazione predefinita, questa funzionalità è inclusa nel menù Principale.
lMenuAddThisFolderXpress	Aggiungi una Cartella Attiva o una Pagina web Express
lMenuAddThisFolderXpressDescription	Simile alla funzione "Aggiungi Cartella attiva o pagina web" eccetto che il nuovo preferito sarà automaticamente aggiunto in cima al menù Principale senza nessuna interruzione.`n`nSe hai bisogno di cambiare le impostazioni predefinite, puoi cliccare il pulsante "Modifica" per cambiare il nome, la posizione o vari settaggi dei preferiti.`n`nIn "Opzioni", puoi scegliere che il nuovo preferito venga inserito, come impostazione predefinita, in fondo al menù Principale.
lMenuAlternativeEditFavorite	Modifica un Preferito
lMenuAlternativeNewWindow	Apri in una nuova finestra
lMenuAlternativeOpenContainingCurrent	Apri la Cartella che lo contiene nella Finestra Corrente
lMenuAlternativeOpenContainingNew	Apri la Cartella che lo contiene in una Nuova Finestra
lMenuAlternativeRunAs	Esegui come Amministratore
lMenuAppData	Dati Applicazioni
lMenuCache	Cache
lMenuClipboard	Appunti di Windows
lMenuClipboardDescription	Visualizza un menù dinamico con il contenuto attuale degli Appunti di Windows.`n`nSe gli Appunti contengono documenti, applicazioni o il percorso di cartelle di file, QAP mostrerà questo elenco nel menù, consentendoti di aprire un documento, eseguire un'applicazione o spostarti in una cartella trovata negli Appunti.
lMenuClipboardEmpty	Gli Appunti sono vuoti
lMenuClipboardNoContent	Nessun percorso o URL trovato negli Appunti
lMenuClipboardTooLarge	Appunti troppo estesi per poter essere elaborati (max. ~1~ caratteri)
lMenuCloseAllWindows	Chiudi tutte le finestre
lMenuCloseAllWindowsDescription	Mostra l'elenco delle finestre attualmente aperte. Deseleziona quelle da preservare e clicca "Chiudi le finestre selezionate" per chiudere le altre restanti. Con un doppio click o premendo Invio puoi chiudere una finestra o vederne i dettagli.
lMenuCloseThisMenu	Chiudi questo menù
lMenuCloseThisMenuDescription	Chiudi il menù QAP se è ancora aperto cliccando al di fuori del menù o premendo il tasto Esc, come faresti normalmente.`n`nQuesto dipende da un malfunzionamento saltuario (probabilmente dovuto a ndows) che impedisce agli utenti di chiudere normalmente il menù.
lMenuColumnBreak	Colonna
lMenuCommonAppData	Dati Applicazioni (pubblica)
lMenuCommonDesktop	Desktop pubblico
lMenuCommonStartMenu	Menù Avvio (pubblico)
lMenuCommonStartupMenu	Esecuzione Automatica (pubblico)
lMenuCookies	Cookies
lMenuCopyLocation	Copia URL o Percorso del Preferito
lMenuCurrentFolders	Cartelle Correnti
lMenuCurrentFoldersDescription	Visualizza un menù dinamico che mostra le cartelle già aperte in Windows Explorer e Directory Opus. Questo menù viene rigenerato ogni volta che apri il menù QAP.`n`nIl "Riapri una Cartella" è utile specialmente quando sei in una casella di dialogo di file e vuoi aprire un file che si trova in una cartella già aperta in un'altra finestra.  Vedi anche "Riapri la Cartella Corrente nella Casella di Dialogo".
lMenuDesktop	Desktop
lMenuDownloads	Download
lMenuDrives	Unità disco
lMenuDrivesDescription	Visualizza un menù dinamico che mostra i dischi montati nel tuo computer con etichetta, spazio libero, capacità ed un'icona che dipende dal tipo di unità disco.`n`nQuesto menù viene rigenerato ogni volta che apri il menù QAP.
lMenuDrivesSpace	(~1~ GB liberi / ~2~ GB)
lMenuDynamicMenus	Usati di recente (o spesso)
lMenuEditIniFile	Modifica ~1~
lMenuEditIniFileDescription	Modifica il file di impostazioni (.ini) attivo di Quick Access Popup (QAP).
lMenuExitApp	Esci da ~1~
lMenuExitAppDescription	Esci da Quick Access Popup, rilasciando tutti i tasti attivanti e le scorciatoie del menù, sia del mouse che della tastiera, assegnati ai preferiti.
lMenuExternalCatalogue	Aggiungi un menù condiviso di Preferiti dal catalogo
lMenuExternalCatalogueDescription	Aggiungi al menù un menù condiviso preso dal Catalogo dei Menù Condivisi, un repository di file di impostazioni prescelti gestito dagli amministratori del menù o da altri membri del gruppo di lavoro.`n`nPuoi selezionare un file di menù condiviso dal repository, aggiungere un menù condiviso non presente nel catalogo o creare un nuovo menù condiviso.
lMenuFavorite	Preferito
lMenuFile	File
lMenuFonts	Font di caratteri
lMenuGetWinInfo	Leggi le informazioni della finestra
lMenuGetWinInfoDescription	Aiuta a riconoscere la finestra che vuoi togliere dal tasto attivatore del mouse per il menù QAP.`n`nQuesta funzionalità ti richiederà di cliccare nella finestra destinazione col predetto tasto per il menù QAP (quello centrale, come impostazione predefinita) e copiare il titolo della finestra e il nome della classe negli Appunti.`n`nVedi il tab "Lista Esclusioni" sotto il tab "Altre" nella casella di dialogo "Opzioni" per avere spiegazioni complete.
lMenuHelp	Aiuto
lMenuHistory	Cronologia
lMenuLastAction	Ripeti l'ultima azione
lMenuLastActionDescription	Aggiungi un elemento con etichetta "Ripeti Ultima Azione" al tuo menù. Quando selezioni questo elemento dal menù, ti riapre l'ultimo preferito aperto.`n`nL'etichetta di questa funzionalità è sempre "Ripeti Ultima Azione" (dovuto a un limite di QAP). Devi ricordarti qual era l'ultima azione che avevi selezionato.
lMenuLastActions	Ripeti le ultime azioni
lMenuLastActionsDescription	Visualizza un menù dinamico contenente i dieci più recenti preferiti che hai richiamato.`n`nPuoi configurare il numero di oggetti in questo menù nelle "Opzioni", tab "Menù".`n`nGli elementi di questo menù vengono ordinati mettendo per primi quelli usati più di recente. Quando riapri un elemento, la sua riga viene spostata in alto nel menù.
lMenuListApplications	Elenco Applicazioni Windows
