lAboutText1	~1~ ~2~ (~3~ bits)
lHelpText45	- Directorio de usuarios de Opus, ver <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">esta página</a> para información adicional.`n- Usuarios de Total Commander, ir a <a href="http://www.quickaccesspopup.com/how-do-i-enable-total-commander-support-in-quick-access-popup/">esta página</a> para información adicional.`n- Usuarios de otros administradores de archivos, ver <a href="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">esta página</a> para información adicional en QAPconnect.
lHelpTextLead	Con Quick Access Popup, podrá navegar de un vistazo por sus archivos, páginas web y documentos favoritos!
lHelpTitle	Ayuda - ~1~ ~2~
lImpExpAborted	anulado
lImpExpAppend	Añadir
lImpExpCompleted	completado
lImpExpDestination	Destino
lImpExpExport	Exportar
lImpExpFavorites	favoritos
lImpExpFavoritesNotFound	Los favoritos no se encuentran en el archivo:`n`n~1~
lImpExpFile	Archivo ~1~
lImpExpFileGlobal	Configuración global y atajos del menú principal
lImpExpFileThemes	Temas
lImpExpFinalReport	Transferido ~1~.`n`nOrigen:`n~2~`n`nDestino:`n~3~
lImpExpHotkeys	atajos 
lImpExpImport	Importar 
lImpExpMenu	Importar/exportar la configuración
lImpExpMerge	Fusionar con
lImpExpNoThemes	Alguna lista de temas en el valor "~1~" de la sección "~2~".`n`nArchivo origen:`n~3~
lImpExpOptionAlternative	Atajos de menú Alternativos
lImpExpOptionFavorites	Favoritos (incluyendo sus atajos)
lImpExpOptionHotkeys	Atajos de favoritos
lImpExpOrIdentical	(o contenido identico)
lImpExpReplaceAll	Sustituir todo
lImpExpReplaceFavorites	Hay favoritos en el archivo de destino. Qué desea hacer?`n`n~1~
lImpExpReplaceSection	Sustituir (COMPRIMIR) la sección ~2~ en la carpeta existente?`n`n~1~`n`n[~2~]`n~3~
lImpExpRestartApp	Quiere relanzar ~1~ y cargra la nueva configuración ahora?
lImpExpSectionNotFound	Contenido no encontrado en el archivo:`n`n~1~`n`nSección: [~2~]`nDescripción: ~3~
lImpExpSource	Origen
lImpExpTitle	Importar / exportar la configuración - ~1~
lImpExpUnsavedSettings	Una ventana de configración está abierta, posiblemente con cambios no guardados.`n`nQuiee cerrar las ventanas de configuración antes de importar o exportar la configuración.
lMainMenuName	Principal
lMenuAbout	Acerca de
lMenuAddFavorite	Añadir Favorito
lMenuAddThisFolder	Añadir esta carpeta al menú
lMenuAddThisFolderXpress	Añadir esta carpeta Express 
lMenuAlternativeEditFavorite	Editar un Favorito
lMenuAlternativeNewWindow	Abrir en nueva ventana
lMenuAppData	Datos de la aplicación
lMenuCache	Cache
lMenuClipboard	Portapapeles
lMenuCloseThisMenu	Cerrar este menú
lMenuColumnBreak	columna
lMenuCommonAppData	Datos de la aplicación (común)
lMenuCommonDesktop	Oficina (común)
lMenuCommonStartMenu	Menu De Inicio (común)
lMenuCommonStartupMenu	Inicio (común)
lMenuComputerRestart	Reiniciar Ordenador 
lMenuComputerShutdown	Apagar Ordenador 
lMenuCookies	Cookies
lMenuCopyLocation	Copiar Ruta o dirección URL favorita
lMenuCurrentFolders	Vuelva a abrir una carpeta 
lMenuDesktop	Oficina
lMenuDownloads	Descarga
lMenuDrives	Unidades de disco 
lMenuDrivesSpace	(~1~ GB libre / ~2~ GB) 
lMenuEditIniFile	Editar ~1~
lMenuExitApp	Cerrar ~1~
lMenuFavoritesInternet	Favoritos (Internet)
lMenuFonts	Fuentes
lMenuGetWinInfo	Obtener ventana Título y Clase
lMenuHelp	Ayuda
lMenuHistory	Historial
lMenuMenu	Menú
lMenuMyMusic	Mi música
lMenuMyQAPMenu	Mi QAP Básico
lMenuMySpecialMenu	Mis Carpetas Especiales
lMenuMyVideo	Mis videos
lMenuNoClipboard	Portapapeles no contiene ninguna ruta o URL...
lMenuNoCurrentFolder	No hay carpetas abiertas actualmente...
lMenuPictures	Imágenes
lMenuProgramFiles	Programas
lMenuProgramsFolderStartMenu	Carpeta Programas (menú Inicio)
lMenuPublicLibraries	Bibliotecas (publico)
lMenuQuickLaunch	Lanzador rápido
lMenuRecentFolders	Ubicaciones recientes
lMenuRecentItems	Documentos recientes
lMenuRefreshMenu	Actualizar menús de carpetas activas
lMenuReload	Reiniciar ~1~ 
lMenuRunAtStartup	Ejecutar al Inicio
lMenuSettings	Configuración
lMenuStartMenu	Menú de Inicio
lMenuStartup	Inicio
lMenuSuspendHotkeys	Suspender atajos de teclado (Hotkeys)
lMenuSwitchFolderOrApp	Cambiar 
lMenuSwitchSettings	Changer del archivo de configuración
lMenuSystemCertificates	Certificados de Sistema
lMenuTemplates	Modelos
lMenuTemporaryFiles	Ficheros temporales
lMenuUpdate	Compruebe Actualización
lMenuUserFolder	Carpeta de Usuario
lMenuUserPinned	Adherido al Usuario
lNavigateFileError	Se produjo un error al abrir la carpeta:`n~1~.
lNavigateSpecialError	Se produjo un error al abrir la carpeta especial #~1~.
lOopsAddThisFolderTip	Para obtener mejores resultados con el comando "Añadir esta carpeta al menú" :`n`n1) Activar la ventana ~1~que contiene la carpeta para añadir a su menú.`n2) Abra el menú emergente usando ~2~.`n3) Selecione "Añadir esta carpeta al menú" y guarde su nuevo favorito.
lOopsAmpersandInName	El signo "&" en los nombres de menús de Windows se utiliza para establecer atajos de teclado. Para mostrar un símbolo de unión en un nombre de menú, introduzca "&&".`n`nPara más información, buscar "ampersand" en FAQ del sitio web de QAP's.
lOopsCannotCopyFavorite	Tipos de favoritos "~1~" cannot be copied.
lOopsChangeFolderInDialogAlert	¿Usted desea cambiar la carpeta en este cuadro de diálogo? Para navegar dentro de una caja de diálogo, tiene que habilitar una opción (primera casilla de verificación en la pestaña "General") .`n`nDo desea abrir la ventana Opciones?
lOopsCouldNotOpenSpecialFolder	~1~ no se puede abrir la carpeta especial: "~2~".
lOopsEmpty	vacio 
lOopsErrorIniFileReadOnly	Este menú compartido es solamente de lectura.
lOopsErrorIniFileRetry	Si el archivo de configuración externo en una unidad de red, pruebe a reiniciar ~ 1 ~ cuando la unidad de red está disponible.
lOopsErrorIniFileUnavailable	El archivo de configuración externo no está disponible
lOopsErrorReadingIniFile	Se ha producido un error al leer el fichero de configuración:
lOopsExternalFileWriteError	Se ha producido un error al escribir en el archivo de configuración del menú compartido:`n~1~.`n`nCompruebe si este archivo o esta carpeta es de sólo lectura. 
lOopsExternalMenuReadOnly	Este menú externo es solo de lectura y no se puede cambiar.
lOopsFtpLocationProtocol	Ubicación FTP debe comenzar con "ftp://".
lOopsGroup	grupo
lOopsHotkeyAlreadyUsed	Este atajo "~1~" ya esta siendo usado por ~2~.`n`nPor favor, elija un nuevo atajo para ~3~.
lOopsHotkeyNotInMenus	Error: la ubicación "~1~" para la tecla de acceso directo "~1~" no se encuentra en los menús.
lOopsHttpLocationTransformed	La ubicación HTTP (formato URL) se convirtió en ruta de red (UNC) para ser compatible con Windows
lOopsInvalidWinCmdIni	Archivo de configuración de Total Commander "wincmd.ini" no encontrado.`n`nSeleccione el archivo en "Opciones", "Gestores de archivos" tab. 
lOopsInvalidWindowPosition	Valor de posición de la ventana no válido (s)
lOopsLaunchWithNotFound	"Lanzamiento con este archivo de aplicación "no encontrado:` ~1~ `n`nComprobar configuración avanzada del n`n favoritos.
lOopsLocation	ubicación
lOopsMaxLiveFolder	El número máximo de elementos en las carpetas dinámicas (~1~) ha sido excedido. Por favor, reduzca el número de niveles de carpetas dinámicas.`n`nTambién podría aumentar este límite, pero tenga cuidado: un número demasiado grande puede producir resultados impredecibles. Edite el valor "NbLiveFolderItemsMax" en [Global] del archivo de configuración(QuickAccessPop.ini). 
lOopsOSVerrsionError	~1~ se requiere Windows 7 o un sistema operativo más reciente. Se invita a los usuarios de Windows Vista y XP de usar Folders Popup que es compatible con estos versions.`n`n¿Quiere visitar el sitio web de Folders Popup?
lOopsQAPfeature	QAP Función
lOopsTitle	~1~ (~2~)
lOopsUnknownTargetAppName	Se ha producido un error durante la apertura de este favorito. Por favor, inténtelo de nuevo...
lOopsWriteProtectedError	Parece ser que ~1~ fué lanzado desde una carpeta SOLO DE ESCRITURA de forma que es imposible crear el archivo de configuración "~1~.ini".`n`nMueva el archivo .EXE de ~1~ a una carpeta REGULAR a vuestra elección, a continuación, ejecute de nuevo la aplicación de esta carpeta.`n`n~1~ estará cerrada.
lOopsWrongThirdPartyPath	Ruta o nombre de archivo incorrecto para ~1~:`n~2~.`n`nVerifique el archivo .exe seleccionado para ~1~ en las "Opciones", pestaña "~3~".
lOopsWrongThirdPartyPathQAPconnect	Ruta equivocada o nombre de archivo para QAPconnect application`n ~1~: `n ~2~ .`n`nCompruebe valores para [~1~] en ~3~. Utilice el botón "~4~" en "Opciones", pestaña "~5~".
lOopsZipFileError	Parece ser que ~1~ se puso en marcha directamente desde un archivo comprimido (ZIP).`n`nDebe extraer el archivo .EXE de ~1~ del comprimido ZIP a una carpeta de su elección, a continuación, ejecute de nuevo la aplicación de esta carpeta.`n`n~1~ será cerrada.
lOptionsAddAutoAtTop	Añadir automáticamente en la parte superior del menú 
lOptionsAddCloseToDynamicMenus	Añadir "Cerrar" a los menús
lOptionsAlternativeMenuFeatures	Alternativa Menú Teclas de acceso rápido
lOptionsAlternativeMenuFeaturesIntro	Administrar los accesos directos que activará las funciones del menú alternativos.
lOptionsChangeFolderInDialog	Cambiar las carpetas en la caja de diálogo con los principales QAP ratón y teclado teclas de acceso rápido
lOptionsChangeFolderInDialogCheckbox	Haga clic "OK" para confirmar que usted entiende la posible consecuencia de mal uso de la función de carpeta de cambio en los cuadros de diálogo "no de archivos".
lOptionsChangeFolderInDialogText	Active esta opción para permitir la navegación carpeta en los cuadros de diálogo (Abrir, Guardar como, etc.), pero, por favor, lea las siguientes Atención.`n`nUsted debe utilizar esta función sólo en los cuadros de diálogo "Archivo". Si lo usa en otro tipo de cuadro de diálogo, por ejemplo en un cuadro de diálogo "Opciones", tratando de cambiar la carpeta podría modificar y guardar los valores en el cuadro de diálogo sin ninguna notificación.
lOptionsChangeHotkey	Modificar
lOptionsCheck4Update	Compruebe Actualización
lOptionsControlDoublePressed	Abrir el menú principal con Ctrl + Ctrl (Izquierda o la tecla de control derecha pulsada dos veces) 
lOptionsDisplayIcons	Mostrar los iconos del menú
lOptionsDisplayMenuShortcuts	Mostrar atajos numéricos
lOptionsExclusionDetail1	Para bloquear el botón de menú QAP ratón [~1~] en una aplicación, entrar en cualquier parte del título de la ventana de la aplicación. Puede introducir múltiples exclusiones, uno por línea. Por ejemplo, para excluir Chrome y Word, escriba las dos líneas siguientes en la lista de exclusión: `n`nGoogle Chrome`nMicrosoft Word
lOptionsExclusionDetail2	La tecla de acceso directo QAP se desactivará en estas aplicaciones y de la [~1~] click será enviado a la ventana de destino como si QAP no se estuviese ejecutando. También puede excluir ventanas por su nombre de clase. Usted puede encontrar ayuda y apoyo en esta función <a href="~2~">en el sitio  de QAP</a>.
lOptionsExclusionList	Lista de exclusiones
lOptionsExclusionTitle	Lista de Exclusiones de ratón del disparador [~1~]
lOptionsExplorerContextMenus	Activar Menús Contextuales de Explorer 
lOptionsFtpEncoding	Codificar Nombre de usuario y contraseña FTP (recomendado)
lOptionsFtpEncodingTC	Codificar Nombre de usuario y contraseña FTP (no recommendado para Total Commander)
lOptionsGuiTitle	Opciones - ~1~ ~2~
lOptionsHotkeyRemindersFull	Mostrar nombres completos
lOptionsHotkeyRemindersNo	No mostrar
lOptionsHotkeyRemindersPrompt	Recordatorios teclas de acceso directo en el menú:
lOptionsHotkeyRemindersShort	Mostrar nombres abreviados
lOptionsIconSize	Tamaño de iconos del menú
lOptionsIconsManageRows	Gestión de filas Iconos de la ventana`n(0 para máximo disponible) 
lOptionsLanguage	Idioma
lOptionsLanguageLabels	Inglés|Francés|Alemán|Sueco|Español|Portugués brasileño|Italiano|Chino tradicional|Portugués|Chino Simplified
lOptionsMenuActiveWindow	En la ventana activa
lOptionsMenuFixPosition	En una posición fija
lOptionsMenuNearMouse	Cerca del puntero del ratón
lOptionsMenuPositionPrompt	Mostrar el menú popup:
lOptionsMouseAndKeyboard	Lanzadores de menú
lOptionsOpenMenuOnTaskbar	Abrir el menú en la barra de tareas
lOptionsOtherOptions	General
lOptionsPopupFixPositionX	Posición X:
lOptionsPopupFixPositionY	Y:
lOptionsPopupHotkeyTitles	Quick Access Popup Botón del mouse|Quick Access Popup Atajo de teclado|Alternativa Menú botón del ratón|Atajo de teclado alternativo Menú
lOptionsPopupHotkeyTitlesSub	Este botón del ratón hace aparecer el menú en cualquier parte (excepto sobre <a> aplicaciones excluidas </a>) y lanzar su favorito o navegar a la carpeta |. Esta tecla de acceso directo abre el menú en cualquier lugar y lanzar su favorito o navegar a la carpeta |. Pops Este ratón un menú alternativo que ofrece varias características. Este menú puede aparecer en cualquier lugar (sin excepción) |. Esta tecla de acceso directo hace aparecer un menú alternativo que ofrece varias características. Este menú puede aparecer en cualquier lugar.
lOptionsRecentFolders	Número de carpetas en el menú
lOptionsRecentFoldersPrompt	Carpetas recientes:
lOptionsRememberSettingsPosition	Memorizar la posición de la ventana
lOptionsRunAtStartup	Ejecutar al inicio
lOptionsTabFileManagersIntro	Seleccione el administrador de archivos para utilizar para abrir carpetas en una ventana nueva.
lOptionsTabMouseAndKeyboardIntro	Definir los botones del ratón y las teclas de acceso rápido de teclado que activarán el menú principal ~1~.
lOptionsTabOtherOptionsIntro	Adaptar ~1~ a sus preferencias!
lOptionsTheme	Tema
lOptionsThirdParty	Gestores de archivos
lOptionsThirdPartyDetail	Activar integración con ~1~, localizar el programa .exe en la carpeta de Archivos de programa.
lOptionsThirdPartyDetailQAPconnect	Seleccione su administrador de archivos (o edite ~1~ para añadirlo - consulte la ayuda).
lOptionsThirdPartyFileNotFound	~1~ archivo de la aplicación "~2~" no encontrado.
lOptionsThirdPartySelectedHelp	Seleccionado el Administrador de archivos: ~1~ (<a href="~2~">~3~</a>)
lOptionsThirdPartySelectFile	Por favor, seleccione el ~1~ archivo de la aplicación mediante el botón "Examinar"
lOptionsThirdPartyUseTabs	Utilice las pestañas en lugar de abrir una nueva ventana
lOptionsTrayTip	Mostrar notificación al inicio
lOptionsUseClassicButtons	Usar botones clásicos de QAP 
lPickIconNoLocation	Por favor, primero elegir un favorito antes de seleccionar un icono.
lReloadPrompt	Cambio ~1~ guardado: ~2~. Desea reiniciar ~3~ en ~2~ ahora? Se perderán los cambios no guardados en el menú de carpetas.
lTCMenuName	TC Lista de sitios Favoritos 
lTCWinCmdLocation	WinCmd.ini ubicación 
lTooltipSnippetWait	Seleccione el punto de inserción y la tecla "~1~" para pegar el fragmento (espere ~2~ segundos)
lTooltipSnippetWaitEnter	Entrar
lTooltipSnippetWaitMacro	Haga clic en  "~1~" para lanzar el macro (espere~2~ segundos) 
lTooltipSnippetWaitText	Seleccione el punto de inserción y haga click"~1~" para pegar el código (espere ~2~ segundos)
lTrayTipInstalledDetail	~1~ para lanzar favoritos
lTrayTipInstalledTitle	~1~ ~2~ Listo!
lTrayTipWorkingDetail	Preparación de los menús
lTrayTipWorkingDetailFinished	El menú ha sido actualizado.
lTrayTipWorkingTitle	~1~ ~2~ en preparación...
lUpdateButtonChangeLog	Ver registro de cambios 
lUpdateButtonDownloadPortable	Descargar Portable en archivo zip
lUpdateButtonDownloadSetup	Descargar archivo de instalación 
lUpdateButtonRemind	Recordarme
lUpdateButtonSkipVersion	Saltar esta versión 
lUpdateButtonVisit	Visitar sitio web 
lUpdateError	Se produjo un error al verificar el número de la última versión. La verificación de la actualización se ha interrumpido.
lUpdatePrompt	Actualizar ~1~ de la versión v~2~ à la versión v~3~?
lUpdatePromptAlpha	Hay una nueva ~1~ versión ALPHA.`n`nActualizar ~1~ desde v~2~ a v~3~?
lUpdatePromptAlphaContinue	¿quiere estar informado de las próximas versiones alfa?
lUpdatePromptBeta	Hay una nueva versión BETA de ~1~.`n`nActualizar ~1~ de la versión v~2~ à la versión v~3~?
lUpdatePromptBetaContinue	Desea estar informado sobre futuras versiones BETA?
lUpdateTitle	Actualizar ~1~?
lUpdateYouHaveLatest	Usted tiene la versión más reciente: ~1~.`n`nVisitar la página de ~2~ todavía?
lWindowIsTreeviewText	Lo sentimos... A causa de una limitación de Windows, este tipo de caja de diálogo (TreeView) no es compatible con ~1~ de momento.
lWindowIsTreeviewTitle	Caja de diálogo incompatible
